iter	Passed	Remaining
0	7	7865
1	13	6905
2	18	6088
3	22	5539
4	25	5173
5	29	4947
6	33	4790
7	37	4677
8	41	4576
9	45	4506
10	49	4429
11	53	4409
12	57	4355
13	61	4303
14	64	4265
15	69	4270
16	73	4230
17	77	4208
18	80	4179
19	85	4171
20	88	4140
21	92	4129
22	96	4112
23	101	4108
24	104	4091
25	108	4078
26	113	4082
27	117	4080
28	121	4071
29	125	4071
30	129	4053
31	133	4046
32	137	4029
33	141	4020
34	145	4004
35	149	3992
36	152	3976
37	157	3991
38	162	4004
39	166	3996
40	170	3988
41	174	3975
42	178	3963
43	182	3955
44	186	3953
45	190	3941
46	193	3932
47	197	3925
48	201	3918
49	205	3906
50	209	3896
51	213	3888
52	217	3884
53	221	3873
54	224	3863
55	228	3853
56	233	3855
57	236	3846
58	240	3837
59	244	3827
60	248	3830
61	252	3822
62	256	3814
63	260	3806
64	264	3808
65	268	3799
66	272	3794
67	276	3787
68	280	3782
69	284	3773
70	287	3766
71	291	3761
72	296	3759
73	299	3751
74	303	3742
75	307	3734
76	312	3740
77	316	3735
78	319	3728
79	323	3722
80	328	3722
81	331	3716
82	335	3708
83	339	3702
84	343	3700
85	348	3707
86	353	3705
87	356	3698
88	360	3694
89	364	3686
90	369	3694
91	374	3693
92	378	3688
93	381	3681
94	385	3674
95	389	3668
96	393	3662
97	397	3658
98	401	3651
99	404	3644
100	408	3638
101	412	3632
102	416	3625
103	420	3621
104	423	3613
105	428	3611
106	431	3605
107	436	3601
108	439	3594
109	444	3593
110	447	3586
111	451	3581
112	455	3575
113	459	3574
114	463	3567
115	467	3564
116	472	3567
117	478	3573
118	481	3566
119	488	3583
120	494	3591
121	498	3585
122	502	3579
123	505	3574
124	510	3570
125	513	3564
126	517	3559
127	521	3554
128	525	3550
129	530	3548
130	533	3542
131	537	3537
132	541	3533
133	546	3528
134	549	3522
135	554	3519
136	558	3515
137	561	3510
138	565	3504
139	569	3500
140	574	3498
141	578	3493
142	582	3487
143	587	3491
144	592	3494
145	596	3488
146	600	3484
147	604	3480
148	608	3474
149	612	3468
150	615	3462
151	619	3456
152	623	3454
153	627	3448
154	631	3442
155	635	3437
156	639	3433
157	643	3428
158	647	3422
159	650	3417
160	655	3415
161	659	3409
162	663	3404
163	666	3398
164	670	3394
165	674	3388
166	678	3382
167	681	3377
168	686	3375
169	690	3369
170	693	3364
171	697	3358
172	701	3354
173	706	3353
174	710	3351
175	714	3345
176	718	3340
177	722	3335
178	726	3330
179	729	3324
180	733	3319
181	737	3315
182	741	3311
183	745	3306
184	749	3302
185	753	3298
186	757	3293
187	761	3288
188	765	3285
189	769	3281
190	773	3275
191	776	3269
192	781	3266
193	785	3261
194	788	3256
195	792	3251
196	797	3252
197	803	3253
198	807	3248
199	811	3245
200	815	3240
201	819	3238
202	823	3233
203	827	3227
204	830	3222
205	835	3219
206	838	3214
207	842	3208
208	846	3203
209	850	3200
210	854	3195
211	858	3190
212	862	3185
213	866	3182
214	872	3187
215	878	3190
216	886	3198
217	893	3204
218	901	3213
219	906	3214
220	911	3213
221	918	3217
222	922	3215
223	928	3215
224	933	3214
225	938	3214
226	943	3213
227	949	3214
228	955	3216
229	960	3215
230	967	3219
231	972	3217
232	978	3221
233	986	3229
234	992	3231
235	998	3232
236	1003	3229
237	1012	3242
238	1018	3244
239	1024	3245
240	1030	3246
241	1036	3246
242	1040	3241
243	1044	3235
244	1048	3229
245	1052	3224
246	1056	3220
247	1060	3214
248	1063	3208
249	1067	3202
250	1072	3199
251	1075	3193
252	1080	3188
253	1084	3184
254	1088	3179
255	1092	3173
256	1096	3168
257	1099	3162
258	1103	3157
259	1107	3152
260	1111	3146
261	1115	3141
262	1118	3135
263	1122	3129
264	1127	3127
265	1131	3121
266	1134	3115
267	1138	3110
268	1143	3106
269	1146	3101
270	1150	3095
271	1154	3090
272	1158	3085
273	1162	3080
274	1166	3075
275	1170	3069
276	1174	3064
277	1178	3060
278	1182	3054
279	1185	3049
280	1190	3046
281	1194	3041
282	1198	3036
283	1202	3030
284	1206	3026
285	1210	3021
286	1214	3016
287	1217	3010
288	1221	3004
289	1225	3000
290	1230	2997
291	1234	2994
292	1238	2988
293	1245	2990
294	1249	2985
295	1252	2979
296	1256	2974
297	1260	2969
298	1264	2964
299	1268	2959
300	1272	2954
301	1276	2950
302	1279	2944
303	1283	2939
304	1287	2934
305	1291	2929
306	1295	2924
307	1299	2918
308	1302	2913
309	1307	2910
310	1311	2905
311	1315	2900
312	1318	2894
313	1324	2892
314	1327	2887
315	1331	2882
316	1335	2877
317	1339	2873
318	1343	2868
319	1347	2862
320	1351	2858
321	1355	2854
322	1359	2850
323	1363	2844
324	1367	2839
325	1371	2834
326	1375	2829
327	1378	2824
328	1382	2819
329	1386	2814
330	1390	2809
331	1393	2804
332	1397	2799
333	1401	2794
334	1405	2790
335	1409	2785
336	1413	2780
337	1416	2775
338	1421	2771
339	1425	2766
340	1429	2761
341	1432	2756
342	1437	2753
343	1442	2749
344	1446	2745
345	1449	2740
346	1454	2737
347	1458	2732
348	1462	2727
349	1465	2722
350	1470	2718
351	1473	2713
352	1477	2708
353	1482	2705
354	1489	2705
355	1492	2700
356	1496	2695
357	1500	2690
358	1504	2685
359	1508	2680
360	1511	2676
361	1515	2671
362	1519	2666
363	1523	2661
364	1526	2656
365	1530	2651
366	1534	2647
367	1538	2642
368	1542	2638
369	1546	2633
370	1550	2628
371	1554	2624
372	1558	2619
373	1562	2614
374	1566	2610
375	1570	2606
376	1574	2601
377	1577	2596
378	1581	2592
379	1585	2587
380	1589	2582
381	1593	2577
382	1597	2573
383	1601	2568
384	1605	2564
385	1608	2559
386	1612	2554
387	1617	2550
