iter	Passed	Remaining
0	13	13343
1	18	9228
2	23	7728
3	26	6690
4	30	6160
5	34	5696
6	37	5381
7	41	5135
8	45	4985
9	49	4868
10	52	4727
11	56	4645
12	59	4543
13	64	4535
14	69	4568
15	73	4503
16	76	4446
17	80	4390
18	84	4353
19	87	4306
20	91	4261
21	96	4281
22	99	4237
23	103	4216
24	107	4178
25	111	4174
26	114	4143
27	118	4115
28	121	4084
29	125	4063
30	129	4041
31	132	4015
32	136	4009
33	142	4049
34	146	4026
35	149	4010
36	154	4019
37	158	4010
38	161	3990
39	165	3968
40	168	3951
41	172	3935
42	176	3936
43	180	3916
44	183	3897
45	187	3879
46	190	3872
47	194	3856
48	197	3842
49	201	3825
50	205	3821
51	208	3808
52	212	3801
53	216	3786
54	219	3772
55	223	3764
56	226	3751
57	230	3738
58	233	3725
59	238	3738
60	242	3728
61	245	3718
62	249	3707
63	253	3712
64	258	3722
65	262	3714
66	266	3712
67	270	3704
68	273	3693
69	277	3682
70	281	3676
71	284	3667
72	288	3663
73	291	3653
74	295	3643
75	298	3632
76	302	3624
77	305	3616
78	309	3606
79	313	3601
80	316	3594
81	320	3589
82	324	3580
83	327	3576
84	331	3567
85	335	3562
86	338	3553
87	342	3544
88	345	3537
89	349	3529
90	352	3524
91	356	3517
92	359	3509
93	363	3501
94	368	3507
95	372	3503
96	375	3495
97	379	3492
98	383	3489
99	386	3481
100	390	3474
101	393	3466
102	397	3458
103	400	3453
104	404	3448
105	408	3441
106	411	3435
107	415	3428
108	418	3420
109	421	3413
110	425	3409
111	429	3404
112	434	3407
113	437	3400
114	441	3399
115	445	3392
116	449	3391
117	452	3385
118	456	3379
119	459	3373
120	463	3369
121	467	3363
122	470	3356
123	474	3355
124	480	3363
125	483	3356
126	487	3349
127	491	3344
128	494	3338
129	498	3336
130	501	3329
131	505	3323
132	508	3316
133	512	3315
134	516	3308
135	519	3302
136	523	3297
137	527	3292
138	530	3285
139	533	3280
140	537	3274
141	540	3268
142	544	3263
143	548	3257
144	551	3253
145	555	3247
146	559	3245
147	562	3240
148	566	3234
149	569	3228
150	573	3223
151	577	3223
152	581	3220
153	585	3214
154	588	3210
155	592	3206
156	596	3201
157	599	3195
158	603	3191
159	608	3192
160	611	3188
161	615	3181
162	619	3179
163	624	3184
164	628	3180
165	631	3175
166	635	3170
167	638	3163
168	643	3161
169	646	3156
170	650	3155
171	656	3160
172	659	3154
173	663	3149
174	667	3144
175	670	3138
176	674	3134
177	677	3129
178	681	3125
179	684	3120
180	688	3114
181	691	3109
182	695	3104
183	699	3101
184	702	3095
185	706	3092
186	710	3087
187	713	3082
188	716	3076
189	720	3071
190	723	3065
191	727	3060
192	731	3056
193	734	3051
194	738	3047
195	741	3042
196	745	3039
197	749	3034
198	752	3029
199	756	3024
200	759	3019
201	762	3013
202	766	3008
203	770	3004
204	773	2999
205	776	2994
206	780	2988
207	783	2984
208	787	2980
209	791	2977
210	795	2975
211	799	2970
212	802	2966
213	807	2966
214	811	2961
215	814	2956
216	819	2956
217	822	2950
218	826	2945
219	829	2940
220	833	2937
221	837	2933
222	840	2930
223	846	2931
224	850	2929
225	853	2924
226	857	2919
227	860	2914
228	864	2909
229	868	2905
230	871	2900
231	875	2898
232	880	2897
233	886	2901
234	892	2904
235	898	2909
236	905	2914
237	911	2917
238	917	2922
239	923	2923
240	927	2921
241	933	2924
242	938	2922
243	942	2921
244	947	2920
245	953	2921
246	958	2921
247	962	2919
248	968	2922
249	973	2920
250	978	2921
251	984	2922
252	991	2926
253	996	2926
254	1007	2944
255	1014	2947
256	1020	2951
257	1025	2949
258	1031	2952
259	1037	2952
260	1041	2949
261	1045	2944
262	1048	2939
263	1052	2933
264	1055	2928
265	1059	2922
266	1063	2920
267	1067	2914
268	1070	2909
269	1074	2903
270	1077	2899
271	1081	2893
272	1084	2888
273	1088	2883
274	1091	2877
275	1095	2873
276	1098	2867
277	1102	2862
278	1105	2857
279	1110	2854
280	1113	2849
281	1117	2844
282	1120	2839
283	1124	2834
284	1127	2829
285	1131	2824
286	1135	2820
287	1138	2815
288	1143	2812
289	1147	2809
290	1151	2804
291	1154	2799
292	1158	2795
293	1162	2790
294	1165	2785
295	1168	2780
296	1172	2775
297	1176	2771
298	1181	2769
299	1184	2764
300	1188	2759
301	1191	2754
302	1195	2749
303	1199	2745
304	1202	2740
305	1207	2739
306	1211	2734
307	1215	2730
308	1219	2727
309	1223	2724
310	1227	2719
311	1231	2715
312	1235	2710
313	1239	2706
314	1243	2703
315	1248	2701
316	1251	2696
317	1255	2692
318	1258	2687
319	1262	2682
320	1265	2677
321	1269	2672
322	1272	2667
323	1276	2662
324	1279	2658
325	1283	2653
326	1287	2648
327	1290	2643
328	1293	2638
329	1297	2633
330	1300	2628
331	1304	2624
332	1307	2619
333	1311	2614
334	1314	2609
335	1319	2606
336	1322	2601
337	1325	2596
338	1329	2592
339	1333	2588
340	1336	2583
341	1340	2578
342	1343	2573
343	1347	2569
344	1350	2564
345	1354	2560
346	1357	2555
347	1361	2550
348	1364	2545
349	1368	2541
350	1371	2536
351	1375	2531
352	1379	2527
353	1382	2523
354	1386	2518
355	1389	2513
356	1394	2510
357	1397	2506
358	1401	2502
359	1405	2497
360	1408	2493
361	1411	2488
362	1415	2484
363	1419	2479
364	1422	2475
365	1427	2472
366	1431	2468
367	1435	2465
368	1440	2463
369	1444	2459
370	1448	2455
371	1451	2450
372	1455	2446
373	1458	2441
374	1462	2436
375	1465	2432
376	1469	2427
377	1472	2423
378	1476	2419
379	1480	2415
380	1483	2410
381	1487	2406
382	1490	2401
383	1495	2398
384	1498	2393
385	1501	2389
386	1505	2384
387	1509	2380
388	1512	2376
389	1516	2371
390	1519	2367
391	1523	2362
392	1526	2357
393	1530	2353
394	1533	2348
395	1536	2344
396	1540	2339
397	1544	2335
398	1548	2332
399	1552	2328
400	1555	2324
401	1559	2319
402	1563	2315
403	1566	2310
404	1569	2306
405	1573	2301
406	1577	2297
407	1580	2293
408	1584	2289
409	1587	2284
410	1592	2282
411	1596	2277
412	1599	2273
413	1602	2268
414	1607	2265
415	1610	2261
416	1613	2256
417	1618	2253
418	1625	2253
419	1628	2249
420	1631	2244
421	1636	2240
422	1640	2238
423	1644	2234
424	1648	2230
425	1652	2226
426	1657	2223
427	1660	2219
428	1664	2215
429	1668	2211
430	1672	2207
431	1675	2203
432	1679	2198
433	1682	2194
434	1686	2190
435	1689	2186
436	1693	2181
437	1696	2177
438	1700	2172
439	1703	2168
440	1706	2163
441	1710	2159
442	1713	2154
443	1718	2151
444	1721	2147
445	1725	2143
446	1729	2139
447	1733	2135
448	1736	2131
449	1740	2127
450	1743	2122
451	1747	2118
452	1750	2113
453	1754	2109
454	1757	2105
455	1761	2101
456	1765	2097
457	1769	2093
458	1772	2089
459	1775	2084
460	1780	2081
461	1783	2077
462	1787	2073
463	1791	2069
464	1795	2065
465	1798	2061
466	1802	2057
467	1806	2053
468	1809	2049
469	1813	2044
470	1817	2041
471	1820	2036
472	1824	2032
473	1829	2030
474	1833	2026
475	1837	2022
476	1841	2018
477	1845	2015
478	1849	2012
479	1853	2007
480	1857	2004
481	1860	1999
482	1864	1995
483	1868	1991
484	1871	1987
485	1875	1983
486	1878	1978
487	1882	1974
488	1885	1970
489	1889	1966
490	1892	1962
491	1897	1959
492	1900	1954
493	1904	1951
494	1908	1946
495	1911	1942
496	1915	1938
497	1919	1934
498	1922	1930
499	1926	1926
500	1929	1921
501	1933	1917
502	1936	1913
503	1939	1908
504	1943	1904
505	1946	1900
506	1950	1896
507	1954	1892
508	1958	1889
509	1961	1885
510	1965	1880
511	1968	1876
512	1974	1874
513	1978	1870
514	1981	1866
515	1985	1862
516	1989	1858
517	1993	1854
518	1996	1850
519	2000	1846
520	2004	1842
521	2008	1839
522	2013	1836
523	2020	1835
524	2027	1834
525	2033	1832
526	2039	1830
527	2048	1831
528	2054	1829
529	2059	1826
530	2063	1822
531	2068	1819
532	2073	1816
533	2078	1814
534	2083	1810
535	2088	1807
536	2094	1805
537	2098	1802
538	2104	1800
539	2109	1796
540	2114	1793
541	2120	1791
542	2125	1788
543	2131	1786
544	2138	1785
545	2144	1783
546	2149	1779
547	2153	1776
548	2160	1774
549	2166	1772
550	2173	1770
551	2177	1767
552	2181	1763
553	2184	1758
554	2188	1754
555	2192	1750
556	2196	1747
557	2202	1744
558	2206	1740
559	2209	1736
560	2213	1732
561	2216	1727
562	2220	1723
563	2223	1719
564	2227	1714
565	2231	1710
566	2234	1706
567	2238	1702
568	2241	1698
569	2245	1693
570	2248	1689
571	2252	1685
572	2256	1681
573	2260	1677
574	2263	1673
575	2267	1669
576	2270	1664
577	2274	1660
578	2277	1656
579	2281	1651
580	2284	1647
581	2288	1643
582	2291	1639
583	2295	1635
584	2298	1630
585	2302	1626
586	2306	1622
587	2310	1618
588	2313	1614
589	2317	1610
590	2320	1605
591	2323	1601
592	2327	1597
593	2331	1593
594	2334	1589
595	2338	1584
596	2341	1580
597	2344	1576
598	2348	1572
599	2352	1568
600	2356	1564
601	2359	1560
602	2363	1555
603	2367	1552
604	2371	1548
605	2374	1544
606	2378	1539
607	2382	1535
608	2386	1532
609	2391	1529
610	2395	1524
611	2399	1520
612	2402	1516
613	2406	1512
614	2409	1508
615	2413	1504
616	2416	1500
617	2420	1496
618	2423	1491
619	2427	1487
620	2431	1484
621	2435	1479
622	2438	1475
623	2442	1471
624	2446	1467
625	2449	1463
626	2453	1459
627	2456	1455
628	2460	1451
629	2465	1447
630	2468	1443
631	2472	1439
632	2475	1435
633	2479	1431
634	2482	1427
635	2486	1422
636	2489	1418
637	2493	1414
638	2496	1410
639	2500	1406
640	2504	1402
641	2507	1398
642	2511	1394
643	2514	1390
644	2518	1385
645	2521	1382
646	2525	1377
647	2529	1373
648	2532	1369
649	2536	1365
650	2539	1361
651	2543	1357
652	2548	1354
653	2551	1349
654	2555	1345
655	2559	1342
656	2563	1338
657	2566	1333
658	2570	1329
659	2574	1326
660	2579	1322
661	2582	1318
662	2586	1314
663	2590	1310
664	2593	1306
665	2599	1303
666	2607	1301
667	2613	1298
668	2616	1294
669	2620	1290
670	2627	1288
671	2631	1284
672	2635	1280
673	2639	1276
674	2644	1273
675	2650	1270
676	2656	1267
677	2660	1263
678	2664	1259
679	2668	1255
680	2676	1253
681	2680	1250
682	2685	1246
683	2690	1243
684	2694	1239
685	2697	1234
686	2701	1230
687	2709	1228
688	2713	1224
689	2718	1221
690	2724	1218
691	2727	1214
692	2731	1210
693	2737	1206
694	2744	1204
695	2749	1200
696	2758	1199
697	2761	1194
698	2765	1191
699	2771	1187
700	2776	1184
701	2782	1181
702	2789	1178
703	2793	1174
704	2797	1170
705	2802	1167
706	2807	1163
707	2812	1159
708	2817	1156
709	2823	1153
710	2826	1148
711	2830	1145
712	2836	1141
713	2841	1138
714	2847	1134
715	2852	1131
716	2857	1127
717	2860	1123
718	2867	1120
719	2872	1117
720	2878	1113
721	2889	1112
722	2893	1108
723	2899	1105
724	2904	1101
725	2907	1097
726	2913	1093
727	2920	1091
728	2925	1087
729	2931	1084
730	2936	1080
731	2940	1076
732	2948	1073
733	2955	1071
734	2959	1066
735	2964	1063
736	2969	1059
737	2973	1055
738	2977	1051
739	2984	1048
740	2989	1045
741	2999	1042
742	3003	1038
743	3007	1034
744	3013	1031
745	3019	1028
746	3024	1024
747	3034	1022
748	3038	1018
749	3045	1015
750	3052	1012
751	3064	1010
752	3070	1007
753	3073	1002
754	3078	999
755	3084	995
756	3090	992
757	3097	988
758	3100	984
759	3104	980
760	3109	976
761	3114	972
762	3118	968
763	3123	964
764	3130	961
765	3134	957
766	3137	953
767	3144	949
768	3151	946
769	3168	946
770	3180	944
771	3186	940
772	3197	939
773	3204	935
774	3210	931
775	3215	928
776	3219	923
777	3230	921
778	3238	918
779	3245	915
780	3249	911
781	3260	908
782	3266	905
783	3276	902
784	3281	898
785	3291	896
786	3301	893
787	3310	890
788	3315	886
789	3323	883
790	3330	879
791	3335	876
792	3339	871
793	3343	867
794	3347	863
795	3352	859
796	3355	854
797	3360	850
798	3365	846
799	3369	842
800	3373	838
801	3376	833
802	3380	829
803	3385	825
804	3388	820
805	3392	816
806	3397	812
807	3402	808
808	3405	804
809	3409	799
810	3413	795
811	3417	791
812	3420	786
813	3424	782
814	3428	778
815	3432	773
816	3435	769
817	3439	765
818	3442	760
819	3446	756
820	3449	752
821	3453	747
822	3456	743
823	3460	739
824	3463	734
825	3467	730
826	3471	726
827	3474	721
828	3478	717
829	3481	713
830	3485	708
831	3488	704
832	3492	700
833	3496	695
834	3500	691
835	3503	687
836	3506	682
837	3511	678
838	3515	674
839	3518	670
840	3522	665
841	3526	661
842	3530	657
843	3533	653
844	3537	648
845	3541	644
846	3545	640
847	3548	636
848	3552	631
849	3555	627
850	3560	623
851	3563	619
852	3567	614
853	3571	610
854	3576	606
855	3580	602
856	3584	598
857	3588	593
858	3594	589
859	3597	585
860	3601	581
861	3604	577
862	3608	572
863	3612	568
864	3615	564
865	3619	560
866	3623	555
867	3629	551
868	3632	547
869	3636	543
870	3641	539
871	3646	535
872	3650	530
873	3653	526
874	3657	522
875	3663	518
876	3667	514
877	3672	510
878	3675	505
879	3679	501
880	3682	497
881	3687	493
882	3691	489
883	3696	485
884	3701	480
885	3704	476
886	3708	472
887	3711	468
888	3717	464
889	3721	459
890	3726	455
891	3730	451
892	3735	447
893	3738	443
894	3742	439
895	3745	434
896	3749	430
897	3752	426
898	3756	422
899	3760	417
900	3764	413
901	3768	409
902	3771	405
903	3775	400
904	3778	396
905	3781	392
906	3785	388
907	3788	383
908	3792	379
909	3795	375
910	3800	371
911	3803	367
912	3807	362
913	3810	358
914	3814	354
915	3818	350
916	3821	345
917	3824	341
918	3828	337
919	3833	333
920	3836	329
921	3839	324
922	3843	320
923	3846	316
924	3850	312
925	3853	307
926	3857	303
927	3860	299
928	3864	295
929	3867	291
930	3871	286
931	3874	282
932	3878	278
933	3882	274
934	3885	270
935	3889	265
936	3892	261
937	3896	257
938	3900	253
939	3903	249
940	3907	244
941	3910	240
942	3916	236
943	3919	232
944	3922	228
945	3926	224
946	3932	220
947	3936	215
948	3939	211
949	3943	207
950	3949	203
951	3953	199
952	3956	195
953	3960	190
954	3963	186
955	3967	182
956	3970	178
957	3974	174
958	3977	170
959	3981	165
960	3984	161
961	3988	157
962	3992	153
963	3995	149
964	3999	145
965	4002	140
966	4006	136
967	4009	132
968	4013	128
969	4017	124
970	4020	120
971	4024	115
972	4027	111
973	4031	107
974	4034	103
975	4038	99
976	4041	95
977	4045	91
978	4049	86
979	4052	82
980	4056	78
981	4059	74
982	4063	70
983	4067	66
984	4070	61
985	4074	57
986	4077	53
987	4081	49
988	4084	45
989	4088	41
990	4092	37
991	4096	33
992	4099	28
993	4103	24
994	4107	20
995	4111	16
996	4114	12
997	4118	8
998	4122	4
999	4127	0
